player_name,position,height,height_with_shoes,weight,wingspan,draft_year
Tyler Ulis,PG,174.62,177.8,67.68,187.96,2016
John Lucas III,PG,175.9,179.07,70.03,182.88,2005
Cordell Henry,PG,172.72,175.26,70.31,185.42,2002
Russ Smith,PG,181.61,184.78,72.57,191.77,2014
Daryl Dorsey,PG,180.98,184.15,72.94,181.61,2005
Aaron Brooks,PG,177.8,182.24,73.03,193.04,2007
Max Abmas,PG,179.07,182.24,73.39,187.32,2021
T.J. Ford,PG,180.34,182.88,73.48,181.61,2003
DJ Steward,PG,184.78,187.32,73.57,200.66,2021
Marcus Hatten,PG,184.78,187.32,73.94,198.76,2003
Terquavion Smith,SG,189.23,191.77,74.03,200.02,2023
Eric Maynor,PG,188.6,191.14,74.21,189.23,2009
Marcus Paige,PG,184.15,187.32,74.3,198.76,2016
Dennis Schroder,PG,185.42,187.96,74.75,202.56,2013
Hollis Price,PG/SG,181.61,184.15,74.84,194.31,2003
Travis Diener,PG/SG,182.24,185.42,74.93,182.24,2005
Terquavion Smith,SG,188.6,192.4,74.93,199.39,2022
Jaquay Walls,PG,186.06,188.6,75.07,189.23,2000
Rashad Phillips,PG,175.26,177.8,75.3,186.69,2001
Tyrone Brazelton,PG,177.8,180.34,75.3,187.32,2008
Speedy Claxton,PG,179.07,181.61,75.3,182.88,2000
Darren Collison,PG,183.52,186.69,75.39,190.5,2009
Mike Taylor,SG/PG,184.78,187.96,75.39,201.3,2008
Kobi Simmons,PG,191.14,194.31,75.39,198.12,2017
DaShaun Wood,PG,179.7,181.61,75.75,184.78,2007
Anthony Grundy,PG/SG,184.78,187.32,75.75,202.56,2002
Luke Ridnour,PG,185.42,187.96,75.75,190.5,2003
Keifer Sykes,PG,179.07,182.24,75.84,187.96,2015
Keon Ellis,SG,191.77,194.94,75.93,204.47,2022
Kyle Guy,SG,184.78,188.6,76.11,194.31,2019
Jamaal Tatum,PG,181.61,184.78,76.2,189.23,2007
Jannero Pargo,PG,183.52,186.06,76.2,189.23,2002
Nah'Shon Hyland,SG,187.96,191.77,76.66,206.38,2021
Jared Harper,PG,177.16,180.34,76.75,196.85,2019
Ryan Boatright,PG,177.8,180.34,76.93,184.15,2015
De?Aaron Fox,PG,187.96,191.14,76.93,199.39,2017
Omar Quintero,PG,177.16,180.98,77.11,181.61,2004
Lynn Greer,PG,183.52,186.06,77.11,185.42,2002
Bobby Brown,PG,180.34,187.32,77.11,193.04,2007
Tyrell Terry,PG,186.69,190.5,77.11,187.32,2020
Devin Harris,PG,187.32,190.5,77.11,201.93,2004
Jimmie Hunter,SG/PG,190.5,193.04,77.11,203.2,2000
Isaiah Joe,SG,190.5,194.31,77.29,201.93,2020
Markus Howard,PG,176.53,180.34,77.47,183.52,2020
Shane Larkin,PG,178.44,181.61,77.47,179.7,2013
Andre Barrett,PG,174.62,177.16,77.56,185.42,2004
Horace Jenkins,PG,182.24,184.78,77.56,196.22,2001
CJ Watson,PG,184.15,187.32,77.56,198.12,2006
Jordan Farmar,PG,184.78,187.96,77.56,190.5,2006
D.J. Augustin,PG,177.8,181.61,77.79,191.77,2008
Jean Montero,PG,185.42,188.6,77.93,196.22,2022
Will Solomon,PG/SG,182.24,184.78,78.02,207.01,2001
Ivan Koljevic,PG,185.42,187.96,78.02,189.23,2004
Rudy Fernandez,SG,194.94,198.12,78.02,201.93,2005
Kennedy Chandler,PG,181.61,184.15,78.11,196.22,2022
Tremont Waters,PG,176.53,179.7,78.2,188.6,2019
Taurean Green,PG,180.34,184.78,78.47,188.6,2007
Brian Roberts,PG,183.52,186.06,78.47,186.06,2008
Cat Barber,PG,186.69,189.86,78.47,196.85,2016
Carlik Jones,PG,182.88,185.42,78.74,195.58,2021
Nick Smith Jr.,SG,187.96,190.5,83.9,203.2,2023
Shaheen Holloway,PG,176.53,179.07,78.93,177.8,2000
Mire Chatman,PG/SG,182.88,185.42,78.93,198.12,2002
Norris Cole,PG,183.52,187.32,79.11,188.6,2011
Will Barton,SG/SF,195.58,198.12,79.11,207.64,2012
John Butler Jr.,PF,212.72,215.26,79.11,219.08,2022
Aaron Miles,PG,182.88,186.69,79.2,191.77,2005
Dominic James,PG,177.8,182.24,79.38,187.96,2007
Mike Conley,PG,180.34,184.78,79.38,197.48,2007
Chris Quinn,PG/SG,184.15,186.69,79.38,195.58,2006
A.J. Guyton,PG/SG,184.78,187.32,79.38,192.4,2000
Jamal Crawford,PG/SG,194.31,196.85,79.38,208.28,2000
Shabazz Napier,PG,180.34,185.42,79.47,191.14,2014
Jeff Teague,PG,183.52,186.69,79.47,201.93,2009
Monte Morris,PG,186.06,189.23,79.47,193.04,2017
Patty Mills,PG,180.98,184.15,79.56,187.96,2009
Drew Neitzel,PG,182.24,184.78,79.61,189.23,2008
Pierre Jackson,PG,176.53,179.07,79.83,177.8,2013
SirValiant Brown,PG,180.34,182.88,79.83,193.04,2001
Eddie Gill,PG,182.24,184.78,79.83,193.04,2000
Aleksandar Capin,PG,182.88,186.06,79.83,186.69,2004
Kenny Satterfield,PG,185.42,187.96,79.83,194.31,2001
Chris Thomas,PG,182.24,185.42,79.92,190.5,2005
Judah Mintz,PG,190.5,193.04,80.01,191.77,2023
Edmond Sumner,PG,193.04,197.48,80.01,205.74,2017
Eddie House,SG/PG,182.24,184.78,80.06,191.77,2000
Monta Ellis,SG/PG,188.6,191.14,80.1,189.86,2005
Brandon Knight,PG,186.69,191.14,80.2,200.02,2011
Phil Pressey,PG,176.53,181.61,80.29,188.6,2013
Gerry McNamara,PG/SG,182.24,184.15,80.29,184.78,2006
Matt Santangelo,PG,182.88,185.42,80.29,190.5,2000
Tyshawn Taylor,PG,189.86,193.04,80.29,198.76,2012
Kay Felder,PG,173.36,176.53,80.38,189.23,2016
Marcus Thornton,PG/SG,187.32,189.86,80.47,202.56,2015
Tre Mann,PG,191.14,193.68,80.56,193.04,2021
Trae Young,PG,184.15,187.32,80.65,190.5,2018
Keyonte George,SG,193.04,195.54,87.98,213.36,2023
Teddy Dupay,PG,176.53,179.07,80.74,179.7,2002
Demetrius Porter,PG,179.7,182.24,80.74,189.86,2001
Maurice Baker,PG,182.24,184.78,80.74,193.04,2002
Chris Paul,PG,182.24,185.42,80.74,193.68,2005
Troy Bell,PG,183.52,186.06,80.74,195.58,2003
Darren Kelly,SG/PG,187.96,190.5,80.74,200.02,2001
Jamison Brewer,PG,189.23,191.77,80.74,205.1,2001
Erick Green,PG,186.69,190.5,80.83,197.48,2013
Grant Riller,PG/SG,183.52,185.42,80.92,196.22,2020
Isaiah Wong,SG,189.23,191.77,80.92,200.02,2023
Devon Dotson,PG,182.88,187.96,81.01,191.14,2019
Chasson Randle,PG,183.52,186.69,81.1,200.66,2015
Anthony Roberson,PG,184.78,189.23,81.1,189.86,2005
Luther Head,PG/SG,187.96,190.5,81.1,196.22,2005
BJ Young,SG/PG,188.6,191.77,81.1,203.84,2013
Dee Brown,PG/SG,180.34,182.88,81.19,187.96,2005
Quinn Cook,PG,183.52,187.96,81.19,193.04,2015
Jerry Green,PG/SG,186.69,189.23,81.19,198.76,2001
Jordan Bone,SG,186.69,189.86,81.19,191.14,2019
Jaylen Hands,PG,186.69,189.86,81.19,196.85,2018
Smush Parker,PG/SG,189.23,191.77,81.19,208.28,2002
Tarence Kinsey,SF/SG,194.94,196.85,81.19,200.02,2006
Seth Curry,SG,185.42,190.5,81.28,193.04,2013
Ryan Rollins,SG,187.96,191.14,81.28,207.64,2022
Jeremy Lamb,SG,193.04,196.22,81.28,210.82,2012
AJ Lawson,SG/SF,196.85,200.02,81.28,200.02,2021
Emoni Bates,SF,203.84,206.38,81.28,205.74,2023
Jordan McRae,SG,192.4,196.22,81.37,214.63,2014
Marquis Teague,PG,185.42,187.96,81.56,201.3,2012
Bilal Coulibaly,SG/SF,203.2,205.7,88.44,218.44,2023
Shamorie Ponds,PG,181.61,184.15,81.65,191.77,2019
Scotty Pippen Jr.,PG,182.88,186.69,81.65,197.48,2022
Norman Richardson,SG,191.77,194.31,81.65,194.31,2001
Shai Gilgeous-Alexander,PG,194.31,198.12,81.65,212.09,2018
Jon Scheyer,PG/SG,194.94,198.12,81.65,191.14,2010
Myck Kabongo,PG,186.06,189.86,81.83,198.76,2013
Jaylen Hands,PG,186.69,190.5,81.83,196.85,2019
Avery Bradley,SG/PG,187.96,191.14,81.83,201.3,2010
Hugo Besson,SG,194.31,197.48,81.83,196.85,2022
Peyton Siva,PG,181.61,185.42,81.92,190.5,2013
Jason Preston,PG,190.5,193.04,81.92,204.47,2021
Marcus Zegarowski,PG,184.78,187.96,82.01,189.86,2021
Patrick McCaw,PG/SG,196.22,200.02,82.01,208.28,2016
Zach LaVine,PG,194.31,197.48,82.05,203.84,2014
Nate Robinson,PG,172.08,175.26,82.1,185.42,2004
Tim Bowers,PG/SG,184.15,187.32,82.1,205.74,2004
Marcus Taylor,PG,185.42,187.96,82.1,194.31,2002
George Hill,PG,186.06,189.23,82.1,205.74,2008
