height,weight,wingspan,points_scored,rebounds,assists,plusminus,fgpct,pheight,pweight,pwingspan,pos
197.69666666666663,95.69333333333334,205.10333333333332,0.6023424429004286,0.10039040715007144,0.033463469050023814,-14,0.75,199.39,99.88,212.09,SF
197.69666666666663,95.69333333333334,205.10333333333332,0.7237219987680963,0.2757036185783224,0.17231476161145148,7,0.625,201.3,111.13,214.0,SF
201.93,99.84,212.72,0.4978038067349927,0.2342606149341142,0.1171303074670571,-17,0.353,206.38,100.61,227.33,PF
195.57999999999998,93.62,201.295,0.4468085106858307,0.25531914896333185,0.12765957448166593,-14,0.364,194.31,89.45,198.76,SG
201.93,99.84,212.72,0.45258620679901157,0.2586206895994352,0.0,2,0.75,206.38,97.98,221.62,PF
202.35666666666665,103.87333333333333,217.8066666666667,0.42897998089332884,0.20019065775022013,0.14299332696444295,6,0.636,201.93,99.84,212.72,PF
198.33333333333334,100.15333333333332,208.28333333333333,0.5519779209339446,0.05519779209339446,0.02759889604669723,10,0.667,194.31,92.35,203.2,SG
198.33333333333334,100.15333333333332,208.28333333333333,0.2586206896997622,0.15517241381985733,0.10344827587990488,5,0.4,196.85,94.89,199.39,SG
189.2266666666667,85.36666666666666,197.06333333333336,0.5374077977383992,0.1580611169818821,0.03161222339637642,2,0.778,190.5,95.62,213.36,SG
200.44666666666663,98.72666666666667,213.14833333333334,0.48935206166645695,0.29904848212950147,0.08155867694440949,0,0.318,205.74,97.52,225.42,SF
189.2266666666667,85.36666666666666,197.06333333333336,0.0,0.19123505973048047,0.09561752986524023,-4,0.0,190.5,89.81,201.3,SG
189.2266666666667,85.36666666666666,197.06333333333336,0.8656447248994008,0.16230838591863764,0.2164111812248502,5,0.619,194.31,93.35,203.84,SG
189.2266666666667,85.36666666666666,197.06333333333336,0.315955766192733,0.12638230647709323,0.031595576619273306,6,0.25,187.96,100.7,205.74,SG
195.58,94.31666666666666,213.36,0.41360294113845564,0.1930147058646126,0.08272058822769113,9,0.333,197.48,93.26,205.74,SG
205.74,97.52,225.42,0.2502979737484746,0.39332538731903155,0.03575685339263923,-11,0.5,203.2,100.88,222.25,PF
191.76999999999998,92.92666666666666,206.16666666666666,0.4091573306956495,0.17535314172670693,0.2630297125900604,5,0.267,182.24,80.74,193.68,PG
191.76999999999998,92.92666666666666,206.16666666666666,0.8780487804878049,0.16260162601626016,0.032520325203252036,-9,0.4,187.96,82.1,191.77,PG
195.58,94.31666666666666,213.36,0.596026490164905,0.2980132450824525,0.04966887418040876,4,0.5,200.66,102.04,211.455,SF
191.76999999999998,92.92666666666666,206.16666666666666,0.04615384614674556,0.09230769229349112,0.09230769229349112,15,0.0,187.96,83.37,203.2,PG
195.58,94.31666666666666,213.36,0.6116774792607372,0.16682113070747379,0.0,-6,0.667,194.31,95.53,215.26,SG
199.81333333333336,98.33999999999999,216.74666666666667,0.4340567612687813,0.1001669449081803,0.0333889816360601,-22,0.417,199.39,97.07,220.34,SF
199.81333333333336,98.33999999999999,216.74666666666667,0.6577344700782296,0.07308160778646997,0.14616321557293993,-27,0.429,188.6,83.1,206.38,SG
189.55,92.39500000000001,206.37,0.30697674421460247,0.08372093024034613,0.11162790698712817,-16,0.455,190.5,91.61,205.74,PG
199.81333333333336,98.33999999999999,216.74666666666667,0.49151550620146467,0.21064950265777058,0.10532475132888529,10,0.429,193.68,89.81,212.09,SG
199.81333333333336,98.33999999999999,216.74666666666667,0.44164037854889593,0.12618296529968454,0.06309148264984227,13,0.4,200.66,99.97,214.63,PF
199.81333333333336,98.33999999999999,216.74666666666667,0.8830022075055188,0.08830022075055188,0.2207505518763797,-5,0.5,192.4,101.15,209.55,SG
193.89,89.99333333333334,212.9366666666667,0.2158273380984421,0.17266187047875367,0.08633093523937684,26,0.4,198.76,94.62,217.8,SF
193.89,89.99333333333334,212.9366666666667,0.8009286127915347,0.17411491582424668,0.208937898989096,25,0.529,198.12,103.15,220.98,SF
193.89,89.99333333333334,212.9366666666667,0.8535300317021633,0.09483667018912927,0.18967334037825853,23,0.647,202.56,97.25,211.46,SF
190.92666666666665,88.17333333333333,208.07000000000002,0.3819444444444444,0.1736111111111111,0.4513888888888889,30,0.625,188.6,87.09,202.56,PG
